년월,시군구명,성별코드,가맹점업종명,총결제금액
Apr-19,남양주시,F,용역 서비스,1200
Apr-19,남양주시,F,농업,13000
Apr-19,남양주시,F,자동차정비 유지,15000
Apr-19,남양주시,F,레저업소,43500
Apr-19,남양주시,F,신변잡화,52500
Apr-19,남양주시,F,서적문구,62000
Apr-19,남양주시,F,주방용구,150000
Apr-19,남양주시,F,약국,178800
Apr-19,남양주시,F,문화.취미,203000
Apr-19,남양주시,F,레져용품,212000
Apr-19,남양주시,F,의원,245000
Apr-19,남양주시,F,보건위생,313500
Apr-19,남양주시,F,수리서비스,348020
Apr-19,남양주시,F,전기제품,437000
Apr-19,남양주시,F,회원제형태,500000
Apr-19,남양주시,F,의류,546400
Apr-19,남양주시,F,음료식품,736210
Apr-19,남양주시,F,유통업 영리,797150
Apr-19,남양주시,F,학원,3287000
Apr-19,남양주시,F,일반휴게음식,5319050
Apr-19,남양주시,M,기타의료기관,500
Apr-19,남양주시,M,건축자재,3800
Apr-19,남양주시,M,가구,9000
Apr-19,남양주시,M,회원제형태,12900
Apr-19,남양주시,M,레져용품,15000
Apr-19,남양주시,M,서적문구,25660
Apr-19,남양주시,M,문화.취미,42000
Apr-19,남양주시,M,수리서비스,52640
Apr-19,남양주시,M,전기제품,58000
Apr-19,남양주시,M,주방용구,80000
Apr-19,남양주시,M,신변잡화,102550
Apr-19,남양주시,M,약국,106740
Apr-19,남양주시,M,레저업소,285500
Apr-19,남양주시,M,보건위생,415000
Apr-19,남양주시,M,의원,494600
Apr-19,남양주시,M,자동차정비 유지,728600
Apr-19,남양주시,M,유통업 영리,903230
Apr-19,남양주시,M,학원,980000
Apr-19,남양주시,M,음료식품,1267298
Apr-19,남양주시,M,일반휴게음식,8842180
Apr-19,동두천시,F,주방용구,7100
Apr-19,동두천시,F,병원,8800
Apr-19,동두천시,F,광학제품,15000
Apr-19,동두천시,F,숙박업,20000
Apr-19,동두천시,F,전기제품,25000
Apr-19,동두천시,F,문화.취미,40000
Apr-19,동두천시,F,수리서비스,73670
Apr-19,동두천시,F,레저업소,101600
Apr-19,동두천시,F,레져용품,203500
Apr-19,동두천시,F,농업,206000
Apr-19,동두천시,F,의원,210800
Apr-19,동두천시,F,서적문구,266100
Apr-19,동두천시,F,연료판매점,304000
Apr-19,동두천시,F,약국,318500
Apr-19,동두천시,F,회원제형태,380000
Apr-19,동두천시,F,신변잡화,701600
Apr-19,동두천시,F,보건위생,770700
Apr-19,동두천시,F,학원,849000
Apr-19,동두천시,F,의류,1303700
Apr-19,동두천시,F,유통업 영리,1355470
Apr-19,동두천시,F,음료식품,1796990
Apr-19,동두천시,F,일반휴게음식,6446480
Apr-19,동두천시,M,건축자재,4000
Apr-19,동두천시,M,자동차정비 유지,10000
Apr-19,동두천시,M,레져용품,10000
Apr-19,동두천시,M,광학제품,12000
Apr-19,동두천시,M,약국,17700
Apr-19,동두천시,M,의원,39100
Apr-19,동두천시,M,수리서비스,62360
Apr-19,동두천시,M,농업,63700
Apr-19,동두천시,M,서적문구,134700
Apr-19,동두천시,M,의류,167000
Apr-19,동두천시,M,레저업소,215000
Apr-19,동두천시,M,회원제형태,250000
Apr-19,동두천시,M,보건위생,443000
Apr-19,동두천시,M,음료식품,612480
Apr-19,동두천시,M,유통업 영리,637630
Apr-19,동두천시,M,학원,780000
Apr-19,동두천시,M,일반휴게음식,3385000
Apr-19,부천시,F,광학제품,22000
Apr-19,부천시,F,주방용구,24000
Apr-19,부천시,F,사무통신,30750
Apr-19,부천시,F,가구,50000
Apr-19,부천시,F,숙박업,70000
Apr-19,부천시,F,기타,99000
Apr-19,부천시,F,자동차정비 유지,118380
Apr-19,부천시,F,전기제품,156750
Apr-19,부천시,F,용역 서비스,215000
Apr-19,부천시,F,직물,215000
Apr-19,부천시,F,건강식품,289000
Apr-19,부천시,F,서적문구,340600
Apr-19,부천시,F,신변잡화,1037510
Apr-19,부천시,F,수리서비스,1216050
Apr-19,부천시,F,의류,1420340
Apr-19,부천시,F,레져용품,1499400
Apr-19,부천시,F,기타의료기관,1663800
Apr-19,부천시,F,약국,1701680
Apr-19,부천시,F,레저업소,1830800
Apr-19,부천시,F,문화.취미,1832300
Apr-19,부천시,F,회원제형태,2670500
Apr-19,부천시,F,의원,5589560
Apr-19,부천시,F,보건위생,6946560
Apr-19,부천시,F,유통업 영리,11848930
Apr-19,부천시,F,학원,14115300
Apr-19,부천시,F,음료식품,16286960
Apr-19,부천시,F,일반휴게음식,32087414
Apr-19,부천시,M,숙박업,1000
Apr-19,부천시,M,유통업 비영리,1800
Apr-19,부천시,M,기타,16500
Apr-19,부천시,M,전기제품,58400
Apr-19,부천시,M,사무통신,70800
Apr-19,부천시,M,광학제품,74000
Apr-19,부천시,M,건강식품,84000
Apr-19,부천시,M,용역 서비스,437300
Apr-19,부천시,M,신변잡화,452790
Apr-19,부천시,M,직물,483000
Apr-19,부천시,M,서적문구,486200
Apr-19,부천시,M,수리서비스,551490
Apr-19,부천시,M,의류,556800
Apr-19,부천시,M,레져용품,758200
Apr-19,부천시,M,자동차정비 유지,866200
Apr-19,부천시,M,회원제형태,998000
Apr-19,부천시,M,약국,999240
Apr-19,부천시,M,문화.취미,1193420
Apr-19,부천시,M,레저업소,1850600
Apr-19,부천시,M,기타의료기관,1931670
Apr-19,부천시,M,의원,2243000
Apr-19,부천시,M,보건위생,4181500
Apr-19,부천시,M,학원,7395000
Apr-19,부천시,M,음료식품,8600710
Apr-19,부천시,M,유통업 영리,11364160
Apr-19,부천시,M,일반휴게음식,40652380
Apr-19,성남시 분당구,F,음료식품,25000
Apr-19,성남시 분당구,M,음료식품,15000
Apr-19,성남시 분당구,M,일반휴게음식,174000
Apr-19,성남시 수정구,F,학원,215000
Apr-19,성남시 중원구,F,음료식품,56900
Apr-19,성남시 중원구,M,음료식품,41500
Apr-19,수원시 권선구,F,서적문구,11500
Apr-19,수원시 권선구,F,레저업소,16000
Apr-19,수원시 권선구,F,광학제품,30000
Apr-19,수원시 권선구,F,연료판매점,34445
Apr-19,수원시 권선구,F,신변잡화,37000
Apr-19,수원시 권선구,F,용역 서비스,50000
Apr-19,수원시 권선구,F,회원제형태,93000
Apr-19,수원시 권선구,F,약국,114800
Apr-19,수원시 권선구,F,수리서비스,116620
Apr-19,수원시 권선구,F,사무통신,172000
Apr-19,수원시 권선구,F,자동차정비 유지,275060
Apr-19,수원시 권선구,F,의류,320000
Apr-19,수원시 권선구,F,의원,375700
Apr-19,수원시 권선구,F,학원,420000
Apr-19,수원시 권선구,F,보건위생,808000
Apr-19,수원시 권선구,F,음료식품,995280
Apr-19,수원시 권선구,F,유통업 영리,995960
Apr-19,수원시 권선구,F,일반휴게음식,4689940
Apr-19,수원시 권선구,M,건축자재,5000
Apr-19,수원시 권선구,M,주방용구,13000
Apr-19,수원시 권선구,M,농업,14000
Apr-19,수원시 권선구,M,광학제품,30000
Apr-19,수원시 권선구,M,자동차정비 유지,45000
Apr-19,수원시 권선구,M,신변잡화,49300
Apr-19,수원시 권선구,M,수리서비스,83500
Apr-19,수원시 권선구,M,약국,112630
Apr-19,수원시 권선구,M,문화.취미,122200
Apr-19,수원시 권선구,M,학원,130000
Apr-19,수원시 권선구,M,사무통신,146500
Apr-19,수원시 권선구,M,서적문구,209000
Apr-19,수원시 권선구,M,레져용품,346000
Apr-19,수원시 권선구,M,레저업소,398500
Apr-19,수원시 권선구,M,보건위생,604500
Apr-19,수원시 권선구,M,음료식품,718750
Apr-19,수원시 권선구,M,의원,791930
Apr-19,수원시 권선구,M,유통업 영리,1267330
Apr-19,수원시 권선구,M,일반휴게음식,7942850
Apr-19,수원시 영통구,F,자동차정비 유지,500
Apr-19,수원시 영통구,F,기타,4400
Apr-19,수원시 영통구,F,유통업 비영리,48700
Apr-19,수원시 영통구,F,약국,158110
Apr-19,수원시 영통구,F,문화.취미,165900
Apr-19,수원시 영통구,F,수리서비스,188980
Apr-19,수원시 영통구,F,의류,195800
Apr-19,수원시 영통구,F,서적문구,254960
Apr-19,수원시 영통구,F,의원,263100
Apr-19,수원시 영통구,F,레저업소,335300
Apr-19,수원시 영통구,F,용역 서비스,468500
Apr-19,수원시 영통구,F,학원,540000
Apr-19,수원시 영통구,F,유통업 영리,653540
Apr-19,수원시 영통구,F,회원제형태,659000
Apr-19,수원시 영통구,F,보건위생,761000
Apr-19,수원시 영통구,F,음료식품,1303140
Apr-19,수원시 영통구,F,일반휴게음식,4629042
Apr-19,수원시 영통구,M,사무통신,6540
Apr-19,수원시 영통구,M,건축자재,13500
Apr-19,수원시 영통구,M,의류,15000
Apr-19,수원시 영통구,M,레져용품,25000
Apr-19,수원시 영통구,M,문화.취미,35000
Apr-19,수원시 영통구,M,광학제품,37600
Apr-19,수원시 영통구,M,용역 서비스,55000
Apr-19,수원시 영통구,M,서적문구,78950
Apr-19,수원시 영통구,M,약국,190600
Apr-19,수원시 영통구,M,회원제형태,200000
Apr-19,수원시 영통구,M,수리서비스,203150
Apr-19,수원시 영통구,M,자동차정비 유지,361000
Apr-19,수원시 영통구,M,레저업소,613400
Apr-19,수원시 영통구,M,음료식품,829640
Apr-19,수원시 영통구,M,학원,1427000
Apr-19,수원시 영통구,M,유통업 영리,1467823
Apr-19,수원시 영통구,M,의원,1601600
Apr-19,수원시 영통구,M,보건위생,1871900
Apr-19,수원시 영통구,M,일반휴게음식,7745120
Apr-19,수원시 장안구,F,직물,5000
Apr-19,수원시 장안구,F,용역 서비스,24160
Apr-19,수원시 장안구,F,의류,30100
Apr-19,수원시 장안구,F,신변잡화,34500
Apr-19,수원시 장안구,F,서적문구,59000
Apr-19,수원시 장안구,F,가구,65000
Apr-19,수원시 장안구,F,자동차정비 유지,82000
Apr-19,수원시 장안구,F,레저업소,87100
Apr-19,수원시 장안구,F,의원,116700
Apr-19,수원시 장안구,F,기타의료기관,158300
Apr-19,수원시 장안구,F,문화.취미,159700
Apr-19,수원시 장안구,F,약국,190500
Apr-19,수원시 장안구,F,수리서비스,267300
Apr-19,수원시 장안구,F,회원제형태,450000
Apr-19,수원시 장안구,F,유통업 영리,752130
Apr-19,수원시 장안구,F,보건위생,1207700
Apr-19,수원시 장안구,F,음료식품,1589810
Apr-19,수원시 장안구,F,학원,1660500
Apr-19,수원시 장안구,F,일반휴게음식,5501450
Apr-19,수원시 장안구,M,직물,1004
Apr-19,수원시 장안구,M,자동차판매,10000
Apr-19,수원시 장안구,M,전기제품,10000
Apr-19,수원시 장안구,M,레져용품,15000
Apr-19,수원시 장안구,M,숙박업,20000
Apr-19,수원시 장안구,M,기타의료기관,20000
Apr-19,수원시 장안구,M,서적문구,47300
Apr-19,수원시 장안구,M,신변잡화,85100
Apr-19,수원시 장안구,M,연료판매점,97720
Apr-19,수원시 장안구,M,수리서비스,112940
Apr-19,수원시 장안구,M,레저업소,117600
Apr-19,수원시 장안구,M,의류,118000
Apr-19,수원시 장안구,M,자동차정비 유지,129000
Apr-19,수원시 장안구,M,약국,161300
Apr-19,수원시 장안구,M,의원,224100
Apr-19,수원시 장안구,M,회원제형태,500000
Apr-19,수원시 장안구,M,학원,500000
Apr-19,수원시 장안구,M,보건위생,613000
Apr-19,수원시 장안구,M,유통업 영리,1181830
Apr-19,수원시 장안구,M,음료식품,1418704
Apr-19,수원시 장안구,M,건강식품,1673700
Apr-19,수원시 장안구,M,일반휴게음식,7416458
Apr-19,수원시 팔달구,F,자동차정비 유지,2500
Apr-19,수원시 팔달구,F,주방용구,38800
Apr-19,수원시 팔달구,F,기타의료기관,44000
Apr-19,수원시 팔달구,F,숙박업,50800
Apr-19,수원시 팔달구,F,수리서비스,63960
Apr-19,수원시 팔달구,F,약국,78100
Apr-19,수원시 팔달구,F,직물,116000
Apr-19,수원시 팔달구,F,신변잡화,161700
Apr-19,수원시 팔달구,F,문화.취미,165100
Apr-19,수원시 팔달구,F,서적문구,189500
Apr-19,수원시 팔달구,F,의류,210700
Apr-19,수원시 팔달구,F,학원,270000
Apr-19,수원시 팔달구,F,레저업소,364000
Apr-19,수원시 팔달구,F,보건위생,462000
Apr-19,수원시 팔달구,F,유통업 영리,616430
Apr-19,수원시 팔달구,F,의원,752700
Apr-19,수원시 팔달구,F,음료식품,1775900
Apr-19,수원시 팔달구,F,일반휴게음식,7947150
Apr-19,수원시 팔달구,M,건축자재,1500
Apr-19,수원시 팔달구,M,농업,15000
Apr-19,수원시 팔달구,M,주방용구,19500
Apr-19,수원시 팔달구,M,자동차정비 유지,40300
Apr-19,수원시 팔달구,M,약국,68800
Apr-19,수원시 팔달구,M,서적문구,71100
Apr-19,수원시 팔달구,M,수리서비스,103350
Apr-19,수원시 팔달구,M,신변잡화,152212
Apr-19,수원시 팔달구,M,레저업소,172455
Apr-19,수원시 팔달구,M,문화.취미,222600
Apr-19,수원시 팔달구,M,보건위생,245000
Apr-19,수원시 팔달구,M,학원,500000
Apr-19,수원시 팔달구,M,음료식품,891150
Apr-19,수원시 팔달구,M,의원,978700
Apr-19,수원시 팔달구,M,유통업 영리,1846340
Apr-19,수원시 팔달구,M,일반휴게음식,9580100
Apr-19,시흥시,F,일반휴게음식,410900
Apr-19,시흥시,M,음료식품,5000
Apr-19,시흥시,M,일반휴게음식,192004
Apr-19,안산시 단원구,F,기타,1000
Apr-19,안산시 단원구,F,광학제품,4000
Apr-19,안산시 단원구,F,직물,9000
Apr-19,안산시 단원구,F,주방용구,20000
Apr-19,안산시 단원구,F,기타의료기관,43450
Apr-19,안산시 단원구,F,가구,134800
Apr-19,안산시 단원구,F,전기제품,200000
Apr-19,안산시 단원구,F,신변잡화,264130
Apr-19,안산시 단원구,F,수리서비스,268240
Apr-19,안산시 단원구,F,자동차정비 유지,293700
Apr-19,안산시 단원구,F,레져용품,319000
Apr-19,안산시 단원구,F,문화.취미,484000
Apr-19,안산시 단원구,F,의류,821800
Apr-19,안산시 단원구,F,레저업소,1040800
Apr-19,안산시 단원구,F,서적문구,1314900
Apr-19,안산시 단원구,F,약국,1317400
Apr-19,안산시 단원구,F,회원제형태,1357400
Apr-19,안산시 단원구,F,음료식품,1756630
Apr-19,안산시 단원구,F,의원,2138100
Apr-19,안산시 단원구,F,보건위생,2754550
Apr-19,안산시 단원구,F,유통업 영리,5386910
Apr-19,안산시 단원구,F,학원,6124600
Apr-19,안산시 단원구,F,일반휴게음식,16697610
Apr-19,안산시 단원구,M,용역 서비스,7000
Apr-19,안산시 단원구,M,기타,15000
Apr-19,안산시 단원구,M,가구,21000
Apr-19,안산시 단원구,M,건축자재,24200
Apr-19,안산시 단원구,M,광학제품,30000
Apr-19,안산시 단원구,M,기타의료기관,45000
Apr-19,안산시 단원구,M,신변잡화,86460
Apr-19,안산시 단원구,M,문화.취미,119000
Apr-19,안산시 단원구,M,의류,142520
Apr-19,안산시 단원구,M,레져용품,165000
Apr-19,안산시 단원구,M,서적문구,172900
Apr-19,안산시 단원구,M,자동차정비 유지,304800
Apr-19,안산시 단원구,M,수리서비스,349700
Apr-19,안산시 단원구,M,보건위생,363000
Apr-19,안산시 단원구,M,레저업소,487200
Apr-19,안산시 단원구,M,약국,1048460
Apr-19,안산시 단원구,M,회원제형태,1443900
Apr-19,안산시 단원구,M,음료식품,1574810
Apr-19,안산시 단원구,M,의원,1690180
Apr-19,안산시 단원구,M,학원,2250000
Apr-19,안산시 단원구,M,유통업 영리,5422610
Apr-19,안산시 단원구,M,일반휴게음식,15218110
Apr-19,안산시 상록구,F,광학제품,12000
Apr-19,안산시 상록구,F,기타,14000
Apr-19,안산시 상록구,F,유통업 비영리,52190
Apr-19,안산시 상록구,F,레저업소,85800
Apr-19,안산시 상록구,F,문화.취미,121050
Apr-19,안산시 상록구,F,가구,130000
Apr-19,안산시 상록구,F,신변잡화,147700
Apr-19,안산시 상록구,F,건강식품,170000
Apr-19,안산시 상록구,F,서적문구,226300
Apr-19,안산시 상록구,F,수리서비스,272700
Apr-19,안산시 상록구,F,직물,280000
Apr-19,안산시 상록구,F,의류,318300
Apr-19,안산시 상록구,F,회원제형태,380000
Apr-19,안산시 상록구,F,의원,479450
Apr-19,안산시 상록구,F,레져용품,570600
Apr-19,안산시 상록구,F,약국,626200
Apr-19,안산시 상록구,F,자동차정비 유지,1029800
Apr-19,안산시 상록구,F,음료식품,1666160
Apr-19,안산시 상록구,F,보건위생,2431250
Apr-19,안산시 상록구,F,학원,2525250
Apr-19,안산시 상록구,F,유통업 영리,4279160
Apr-19,안산시 상록구,F,일반휴게음식,9996050
Apr-19,안산시 상록구,M,건축자재,10450
Apr-19,안산시 상록구,M,용역 서비스,12000
Apr-19,안산시 상록구,M,전기제품,19800
Apr-19,안산시 상록구,M,기타의료기관,21000
Apr-19,안산시 상록구,M,주방용구,27300
Apr-19,안산시 상록구,M,의류,49900
Apr-19,안산시 상록구,M,기타,50000
Apr-19,안산시 상록구,M,회원제형태,60000
